Freq.	V(output)
6.65397163095027e+003	(7.16629792549098e+000dB,1.02685008007316e+002°)
7.13155021452184e+003	(6.59382419072874e+000dB,1.01793384618847e+002°)
7.64340626666952e+003	(6.01774282747927e+000dB,1.00951365266717e+002°)
8.19199999999999e+003	(5.43849176459852e+000dB,1.00156171217013e+002°)
8.77996820509730e+003	(4.85646225448000e+000dB,9.94050283042379e+001°)
9.41013692413570e+003	(4.27200316353679e+000dB,9.86951902069084e+001°)
1.00855350341215e+004	(3.68542515623272e+000dB,9.80239563147543e+001°)
1.08094088050515e+004	(3.09700470595901e+000dB,9.73886849684528e+001°)
1.15852375029604e+004	(2.50698788952090e+000dB,9.67868027844540e+001°)
1.24167501128532e+004	(1.91559394300752e+000dB,9.62158107119190e+001°)
1.33079432619005e+004	(1.32301857057619e+000dB,9.56732873865528e+001°)
1.42631004290437e+004	(7.29437010040526e-001dB,9.51568902770156e+001°)
1.52868125333390e+004	(1.35006866545551e-001dB,9.46643550448733e+001°)
1.63840000000000e+004	(-4.60129268215835e-001dB,9.41934934764347e+001°)
1.75599364101946e+004	(-1.05584138965752e+000dB,9.37421902879621e+001°)
1.88202738482714e+004	(-1.65200982286315e+000dB,9.33083990540621e+001°)
2.01710700682431e+004	(-2.24852310818249e+000dB,9.28901374666599e+001°)
2.16188176101031e+004	(-2.84527600260831e+000dB,9.24854820979406e+001°)
2.31704750059208e+004	(-3.44216756959607e+000dB,9.20925628061574e+001°)
2.48335002257063e+004	(-4.03909932880620e+000dB,9.17095569034424e+001°)
2.66158865238011e+004	(-4.63597343715570e+000dB,9.13346831832848e+001°)
2.85262008580874e+004	(-5.23269087185256e+000dB,9.09661958916267e+001°)
3.05736250666781e+004	(-5.82914958544923e+000dB,9.06023787156949e+001°)
3.27680000000000e+004	(-6.42524260199130e+000dB,9.02415388586854e+001°)
3.51198728203892e+004	(-7.02085602222639e+000dB,8.98820012654003e+001°)
3.76405476965428e+004	(-7.61586690406831e+000dB,8.95221030688905e+001°)
4.03421401364862e+004	(-8.21014098344258e+000dB,8.91601883249679e+001°)
4.32376352202061e+004	(-8.80353019748554e+000dB,8.87946031232352e+001°)
4.63409500118415e+004	(-9.39586997099579e+000dB,8.84236911608080e+001°)
4.96670004514127e+004	(-9.98697622336662e+000dB,8.80457898929142e+001°)
5.32317730476022e+004	(-1.05766420513023e+001dB,8.76592273857266e+001°)
5.70524017161747e+004	(-1.11646340394843e+001dB,8.72623200273792e+001°)
6.11472501333561e+004	(-1.17506881492183e+001dB,8.68533712688655e+001°)
6.55359999999999e+004	(-1.23345051318611e+001dB,8.64306716085259e+001°)
7.02397456407784e+004	(-1.29157454134926e+001dB,8.59925000507363e+001°)
7.52810953930856e+004	(-1.34940233950668e+001dB,8.55371273078632e+001°)
8.06842802729723e+004	(-1.40689011138615e+001dB,8.50628210300646e+001°)
8.64752704404123e+004	(-1.46398812136352e+001dB,8.45678533724430e+001°)
9.26819000236830e+004	(-1.52063991752695e+001dB,8.40505112006002e+001°)
9.93340009028253e+004	(-1.57678147679283e+001dB,8.35091091946287e+001°)
1.00000000000000e+005	(-1.58216422126764e+001dB,8.34555828509067e+001°)
